,LQA Bid-Ask Spread,Yld to Mty (Mid),S&P Outlook,cluster1,Issuer Name
164,0.1309511920174331,5.117793411220251,0,0,JPMorgan Chase & Co
165,0.0768005617601558,5.275032120204719,0,0,Morgan Stanley
167,0.0312238924561439,6.084808895295099,0,0,Morgan Stanley
170,0.0186433589633328,4.071505440888281,0,0,Intesa Sanpaolo SpA
172,0.1357073656294862,5.765506234224137,0,0,Morgan Stanley
173,0.275529222377187,5.0121302782891215,0,0,Apple Inc
175,0.0578451431468023,5.584690222489462,0,0,JPMorgan Chase & Co
176,0.0371861841050815,6.339554474833627,0,0,JPMorgan Chase & Co
178,0.1260393182464532,6.149498800825126,-1,1,UBS Group AG
180,0.2590411422593964,6.525013196194075,0,2,Alpha Bank SA
181,0.2920634262222396,5.005142873504458,0,0,Apple Inc
182,0.3299587387996789,5.074663629803244,0,2,Apple Inc
184,0.129097027665648,5.308150314875893,0,0,Nasdaq Inc
185,0.2291901578820213,4.956922785447004,-1,1,Intel Corp
187,0.4486479745574819,6.0845977996072005,0,2,Nasdaq Inc
188,0.1563452618402044,5.76576198075575,0,0,JPMorgan Chase & Co
189,0.2835206883155987,5.621719424222232,0,2,Morgan Stanley
191,0.1456341132192204,5.900729244503852,0,0,Morgan Stanley
194,0.4762511303331925,4.2629150429951475,1,2,Deutsche Bank AG
196,0.6092028602330428,5.280518335867621,0,2,Intesa Sanpaolo SpA
197,0.1916079541160712,5.735754507353178,0,0,JPMorgan Chase & Co
198,0.1325148191392512,4.212311624477216,0,0,Intesa Sanpaolo SpA
199,0.3397992381395216,5.558202544576776,0,2,JPMorgan Chase & Co
200,0.1131309442866239,5.9012177725289146,0,0,Morgan Stanley
201,0.5804122342600102,8.820174325205977,0,2,Intesa Sanpaolo SpA
202,0.3768596247185913,5.115614065067161,0,2,Apple Inc
205,0.3161302431188471,8.88897203449424,0,2,Intesa Sanpaolo SpA
208,0.1107117264197187,5.687027381565043,0,0,JPMorgan Chase & Co
210,0.0812917517890065,5.114862382045284,0,0,JPMorgan Chase & Co
211,0.3648736240730391,6.376513148634746,-1,1,UBS Group AG
212,0.1087932719047465,4.843585497300617,0,0,Apple Inc
217,0.09183374717505,6.097647607110796,-1,1,UBS Group AG
218,0.1770969448218341,5.990501806119385,0,0,JPMorgan Chase & Co
219,0.118352057718183,6.242387903734481,0,0,Morgan Stanley
220,0.0597634853714939,5.726772662195756,0,0,Apple Inc
221,0.1990391254654204,5.277691843599392,0,0,AbbVie Inc
222,0.1939703879772564,4.611109401479598,0,0,Apple Inc
224,0.170100027989299,3.8635161700698513,1,0,Deutsche Bank AG
225,0.308770181944894,5.119359898433825,0,2,Apple Inc
227,0.1600762673535532,6.067147132289432,0,0,JPMorgan Chase & Co
228,0.0736774502233574,4.840052866343234,0,0,Apple Inc
229,0.2500437938111123,6.973025280199065,0,2,Intesa Sanpaolo SpA
230,0.0352074412264902,6.311359734535497,0,0,JPMorgan Chase & Co
233,0.165280889873779,4.1175909014545615,0,0,Intesa Sanpaolo SpA
234,0.5713205510657712,8.84304063558802,0,2,Intesa Sanpaolo SpA
238,0.2093180794833789,8.399835423410387,0,2,Intesa Sanpaolo SpA
241,0.089618299442687,5.986801103063768,0,0,Morgan Stanley
243,0.1992732874885909,5.789691274015414,0,0,JPMorgan Chase & Co
244,0.0647687677879745,5.0778358864845545,0,0,AbbVie Inc
247,0.0789068470995585,5.381040955790706,0,0,JPMorgan Chase & Co
252,0.2190537417206921,6.586395629323485,-1,1,UBS Group AG
255,0.2280932246493315,4.605563085866351,-1,1,UBS Group AG
256,0.2604418481141124,5.004135310657904,0,0,Apple Inc
257,0.1251054022606735,6.369851723260784,-1,1,UBS Group AG
258,0.1846517570901186,5.878381777202181,-1,1,UBS Group AG
262,0.0695231184472642,6.329095452120459,0,0,Morgan Stanley
