,Issuer Name,Amt Issued,Issue Date,Maturity,Moody Rtg,S&P Rating,Currency,ISIN,Yld to Mty (Mid),Yield at Issue,Cpn,Moody's Rating Outlook,S&P Outlook,LQA Bid-Ask Spread,Market Cap
144,Danske Bank A/S,1000000000.0,1/10/2023,1/12/2027,A3,A+,EUR,XS2573569220,4.402746174165299,4.123,4.0,POS,STABLE,0.0570488844257318,150968527130
145,Deutsche Bank AG,500000000.0,6/10/2020,6/10/2026,A1,A-,EUR,DE000DL19VD6,4.772701912707196,1.3880000000000001,1.375,STABLE,POS,0.0960281618906602,22573248090
146,Apple Inc,1471137000.0,8/8/2022,8/8/2032,Aaa,AA+,USD,US037833EP10,4.6619869533868235,3.364,3.35,STABLE,STABLE,0.184003130223004,2962488200960
147,Apple Inc,2075182500.0,2/8/2021,2/8/2026,Aaa,AA+,USD,US037833EB24,4.849598886439097,0.746,0.7,STABLE,STABLE,0.0749427900849741,2962954783520
149,Morgan Stanley,2577762000.0,7/24/2017,7/22/2028,A1,A-,USD,US61744YAK47,5.200615083113654,3.591,3.591,STABLE,STABLE,0.135485322280467,125896804740
151,Intesa Sanpaolo SpA,1374237000.0,6/20/2023,6/20/2054,Baa3,BBB-,USD,XS2638076187,8.316961185065542,7.812,7.778,STABLE,STABLE,0.3238553614581908,47827802150
152,Morgan Stanley,1739567250.0,9/8/2014,9/8/2026,Baa1,BBB+,USD,US6174467Y92,5.7283968573633315,4.369,4.35,STABLE,STABLE,0.108408748110947,125905011300
154,Intesa Sanpaolo SpA,750000000.0,10/13/2022,1/13/2030,Baa1,BBB,EUR,XS2545759099,4.597955526460111,5.376,5.25,STABLE,STABLE,0.2004628426175522,47827802150
155,Morgan Stanley,2470224000.0,1/25/2021,1/25/2024,A1,A-,USD,US6174468W28,5.6106502479810985,0.529,5.809734883782739,STABLE,STABLE,0.0260895642555469,125905011300
156,UBS Group AG,2073980250.0,1/12/2023,1/12/2034,A3,A-,USD,USH42097DT18,6.211043023629847,5.9590000000000005,5.959,POS,NEG,0.336529481766166,80112709880
157,Apple Inc,1758830000.0,5/13/2015,5/13/2025,Aaa,AA+,USD,US037833BG48,5.075670833315039,3.241,3.2,STABLE,STABLE,0.0503545442057957,2963032547280
161,Intesa Sanpaolo SpA,1000000000.0,9/15/2014,9/15/2026,Baa3,BB+,EUR,XS1109765005,4.453396345648324,3.928,3.928,STABLE,STABLE,0.4574527310759187,47827802150
162,Intesa Sanpaolo SpA,1250000000.0,5/26/2020,5/26/2025,Baa1,BBB,EUR,XS2179037697,4.049516274943093,2.1670000000000003,2.125,STABLE,STABLE,0.0616400597783948,47827802150
163,JPMorgan Chase & Co,1613716000.0,12/9/2014,12/15/2026,A3,BBB+,USD,US46625HJZ47,5.454521618145847,4.152,4.125,STABLE,STABLE,0.1090272625436976,443654140000
164,JPMorgan Chase & Co,1340926500.0,9/25/2015,10/1/2027,A3,BBB+,USD,US46625HNJ58,5.117793411220251,4.287,4.25,STABLE,STABLE,0.1309511920174331,443654140000
165,Morgan Stanley,2810331000.0,1/20/2017,1/20/2027,A1,A-,USD,US61746BEF94,5.275032120204719,3.746,3.625,STABLE,STABLE,0.0768005617601558,125905011300
167,Morgan Stanley,1698132000.0,7/20/2021,1/22/2025,A1,A-,USD,US61747YEB74,6.084808895295099,0.791,0.791,STABLE,STABLE,0.0312238924561439,125896804740
170,Intesa Sanpaolo SpA,1000000000.0,1/18/2017,1/18/2024,Baa1,BBB,EUR,XS1551306951,4.071505440888281,1.479,1.375,STABLE,STABLE,0.0186433589633328,47827802150
172,Morgan Stanley,2166567000.0,4/28/2014,4/29/2024,A1,A-,USD,US61746BDQ68,5.765506234224137,3.982,3.875,STABLE,STABLE,0.1357073656294862,125905011300
173,Apple Inc,1452627750.0,2/8/2021,2/8/2061,Aaa,AA+,USD,US037833EG11,5.0121302782891215,2.8120000000000003,2.8,STABLE,STABLE,0.275529222377187,2963062097500
175,JPMorgan Chase & Co,2221145000.0,1/23/2015,1/23/2025,A1,A-,USD,US46625HKC33,5.584690222489462,3.1510000000000002,3.125,STABLE,STABLE,0.0578451431468023,443654140000
176,JPMorgan Chase & Co,1807028000.0,9/12/2019,10/15/2025,A1,A-,USD,US46647PBF27,6.339554474833627,2.301,2.301,STABLE,STABLE,0.0371861841050815,443654140000
178,UBS Group AG,1407717000.0,9/22/2023,9/22/2029,A3,A-,USD,US225401BE76,6.149498800825126,6.246,6.246,POS,NEG,0.1260393182464532,80112709880
180,Alpha Bank SA,500000000.0,6/27/2023,6/27/2029,Ba2,BB-,EUR,XS2640904319,6.525013196194075,7.0,6.875,POS,STABLE,0.2590411422593964,3715682320
181,Apple Inc,1054470000.0,8/20/2020,8/20/2050,Aaa,AA+,USD,US037833DZ01,5.005142873504458,2.4130000000000003,2.4,STABLE,STABLE,0.2920634262222396,2962799256000
182,Apple Inc,1765452000.0,2/9/2015,2/9/2045,Aaa,AA+,USD,US037833BA77,5.074663629803244,3.498,3.45,STABLE,STABLE,0.3299587387996789,2962954783520
184,Nasdaq Inc,916509000.0,6/28/2023,6/28/2028,Baa2,BBB,USD,US63111XAH44,5.308150314875893,5.396,5.35,STABLE,STABLE,0.129097027665648,32223471230
185,Intel Corp,1227542500.0,8/5/2022,8/5/2032,A2,A,USD,US458140CA64,4.956922785447004,4.17,4.15,NEG,NEG,0.2291901578820213,186958520000
187,Nasdaq Inc,687381750.0,6/28/2023,6/28/2063,Baa2,BBB,USD,US63111XAL55,6.0845977996072005,6.140000000000001,6.1,STABLE,STABLE,0.4486479745574819,32223471230
188,JPMorgan Chase & Co,3388177500.0,9/12/2019,10/15/2030,A1,A-,USD,US46647PBE51,5.76576198075575,2.7390000000000003,2.739,STABLE,STABLE,0.1563452618402044,443654140000
189,Morgan Stanley,1659392000.0,7/24/2012,7/24/2042,A1,A-,USD,US617482V925,5.621719424222232,6.461,6.375,STABLE,STABLE,0.2835206883155987,125896804740
